Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64febb5ff6e1f1e0210c722d,60fba1203c2b32708cb239ef,APPROVED,2023-09-11T07:01:51.305000Z,2023-09-11T07:22:34.613000Z,2023-09-11T07:22:35.205000,2023-09-11T07:22:35.144381Z,1244,C13E0WG5,273,31,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
64febb84387a4b8ad152a6a4,6053716ac1260f765fa7599a,APPROVED,2023-09-11T07:02:28.183000Z,2023-09-11T07:26:50.690000Z,2023-09-11T07:26:51.331000Z,2023-09-11T07:26:51.771353Z,1463,C13E0WG5,135,22,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
64febb8aa22cfd26e2a66300,6148baf1d5974f3958c332d2,APPROVED,2023-09-11T07:02:34.344000Z,2023-09-11T07:22:15.315000Z,2023-09-11T07:22:16.130000,2023-09-11T07:22:16.069341Z,1181,C13E0WG5,118,23,Female,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,Unemployed (and job seeking)
64febb8f0de117da1d5ea3a3,611bf41079ffca32db5a3080,APPROVED,2023-09-11T07:02:39.068000Z,2023-09-11T07:22:45.218000Z,2023-09-11T07:22:45.792000,2023-09-11T07:22:45.727965Z,1207,C13E0WG5,285,20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64febb8f561bfbc59a9f2c84,5d1dbc03a6927000014544a8,APPROVED,2023-09-11T07:02:41.530000Z,2023-09-11T07:17:43.576000Z,2023-09-11T07:17:44.300000,2023-09-11T07:17:44.236541Z,903,C13E0WG5,195,26,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
64febb92b2e8c8c0c603fdad,5a5c0728ac5624000153f533,APPROVED,2023-09-11T07:02:52.285000Z,2023-09-11T07:09:22.850000Z,2023-09-11T07:09:23.416000,2023-09-11T07:09:23.313105Z,391,C13E0WG5,1220,41,Male,White,United States,Mexico,United States,English,DATA_EXPIRED,DATA_EXPIRED
64febb957500df5e7caa4f2a,5fa4faf94527261b54915c03,APPROVED,2023-09-11T07:02:44.995000Z,2023-09-11T07:17:31.355000Z,2023-09-11T07:17:32.143000,2023-09-11T07:17:32.044832Z,887,C13E0WG5,290,38,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
64febb95c24da095b877e6e6,5ea75e1b76be5a12b5b86e50,APPROVED,2023-09-11T07:03:12.914000Z,2023-09-11T07:35:28.561000Z,2023-09-11T07:35:29.112000,2023-09-11T07:35:29.053078Z,1936,C13E0WG5,341,21,Female,White,Poland,Poland,Poland,Polish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64febb9f2b7bae69208f83b2,5f5729f8eb21501a1a407330,APPROVED,2023-09-11T07:02:57.971000Z,2023-09-11T07:09:53.404000Z,2023-09-11T07:10:00.542000Z,2023-09-11T07:10:03.514167Z,416,C13E0WG5,249,23,Male,White,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
64febbac7611a7913303fdbf,6144fbdbf47ffef663e96440,APPROVED,2023-09-11T07:03:14.510000Z,2023-09-11T07:12:08.025000Z,2023-09-11T07:12:15.815000,2023-09-11T07:12:15.738125Z,534,C13E0WG5,120,58,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
