Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64f78c3a1f128588d084b371,642c63f27d35b896cfbc4976,APPROVED,2023-09-05T20:14:59.894000Z,2023-09-05T20:38:33.071000Z,2023-09-06T07:33:44.327000,2023-09-05T20:38:40.316993Z,1414,642c63f27d35b896cfbc4976,92,19,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Unemployed (and job seeking)
64f78c41b5cb4da7fe7aa0d3,5e6f58ba2649e051077d8988,APPROVED,2023-09-05T20:14:57.310000Z,2023-09-05T20:28:16.362000Z,2023-09-05T20:28:16.965000,2023-09-05T20:28:16.902221Z,800,C13E0WG5,411,37,Male,Mixed,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64f78c41d10237d1e4e3d939,605da94ba47f45380a1c7d57,APPROVED,2023-09-05T20:14:57.702000Z,2023-09-05T20:22:06.433000Z,2023-09-05T20:22:07.105000,2023-09-05T20:22:07.037274Z,429,C13E0WG5,232,30,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
64f78c540fe28f8105ec57e3,603ea08e7dc2aaf9eb6d9225,APPROVED,2023-09-05T20:15:16.196000Z,2023-09-05T20:23:46.436000Z,2023-09-05T20:24:04.911000Z,2023-09-05T20:24:15.886731Z,511,C13E0WG5,196,21,Female,White,South Africa,South Africa,South Africa,English,Yes,Part-Time
64f78c54b3d1411f234fe43e,60f672ca5ca3b52915f16c9d,APPROVED,2023-09-05T20:15:16.605000Z,2023-09-05T20:30:30.224000Z,2023-09-05T20:30:31.099000,2023-09-05T20:30:31.031170Z,914,C13E0WG5,70,37,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
64f78c64c2aeebf5a301f7e1,5ec98e275583f34a98a9a956,APPROVED,2023-09-05T20:15:32.537000Z,2023-09-05T20:20:10.666000Z,2023-09-05T20:20:11.294000,2023-09-05T20:20:11.220541Z,279,C13E0WG5,346,31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
64f78c69b32a5f086e89a592,613aa40f1e0b69d1fb8e1774,APPROVED,2023-09-05T20:15:37.956000Z,2023-09-05T20:31:27.464000Z,2023-09-05T20:31:27.959000,2023-09-05T20:31:27.886507Z,950,C13E0WG5,60,23,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
64f78c6acad006f9db8fa717,5ed43a28cdb3800009289452,APPROVED,2023-09-05T20:16:23.858000Z,2023-09-05T20:31:31.529000Z,2023-09-05T20:31:32.289000Z,2023-09-05T20:31:32.785915Z,908,C13E0WG5,112,27,Male,DATA_EXPIRED,"Venezuela, Bolivarian Republic of",Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
64f78c73993b149d1d40c05c,64f786aff3781f17658fa6e6,APPROVED,2023-09-05T20:16:18.019000Z,2023-09-05T20:34:03.439000Z,2023-09-06T07:31:22.952000,2023-09-05T20:34:04.107735Z,1066,64f786aff3781f17658fa6e6,0,27,Female,Other,Mexico,Mexico,Mexico,Spanish,No,DATA_EXPIRED
64f78c76a62acd1a8d3915c9,5da1b94dbc285e001676e438,APPROVED,2023-09-05T20:17:13.070000Z,2023-09-05T20:33:32.964000Z,2023-09-05T20:33:33.532000,2023-09-05T20:33:33.457114Z,980,C13E0WG5,473,33,Male,Mixed,Greece,Greece,Greece,Greek,No,Full-Time
64f78c7aff2588a6817e8d78,5962afc407ed5e0001cd0ff3,APPROVED,2023-09-05T20:16:24.787000Z,2023-09-05T20:27:40.557000Z,2023-09-05T20:27:41.227000,2023-09-05T20:27:41.138181Z,676,C13E0WG5,1,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64f78c7e24d178a9867df74a,60cb82b9065703e89e7211a0,APPROVED,2023-09-05T20:15:58.886000Z,2023-09-05T20:23:59.531000Z,2023-09-05T20:24:15.408000Z,2023-09-05T20:24:17.091842Z,481,C13E0WG5,242,20,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
